,job_titles,companies,company_ratings,locations,post_dates,Salary,Excel,Python,R,Java,Scala,C/C++,MATLAB,SAS,SQL/databases,Oracle,SPSS,Machine Learning,Data Mining/Analytics,Visualisation,Big Data,AWS Cloud,Jason,xml,Azure,Google Cloud,IBM,Operations research,DevOps,Git,presentation,management,agile,SDLC,decision making,problem solving,project_management,leadership,consulting
29,data scientist,BluVec Technologies INC,,"Surrey, BC",2 days ago,"$70,000 - $120,000 a year",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Data Scientist II,TD Bank,3.8,"Toronto, ON",2 days ago,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
31,data scientist,BluVec Technologies INC,,"Surrey, BC",2 days ago,"$70,000 - $120,000 a year",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Data Scientist,Grant Thornton,3.7,"Toronto, ON",30+ days ago,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Senior Data Scientist,ProNavigator,,"Kitchener, ON",30+ days ago,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,Data Scientist,MSi Corp (Bell Canada),3.6,"Montréal, QC",7 days ago,$35 an hour,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,Data Scientist,Microsoft,4.2,"Vancouver, BC",29 days ago,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,Data Scientist,Scotiabank,3.9,"Toronto, ON",9 days ago,,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
37,Data Scientist,Nidish LLC,,Remote,25 days ago,$45 an hour,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Data Scientist,Bell Canada,3.9,"Don Mills, ON",1 day ago,,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,Data Scientist,Innovation Credit Union,5.0,Canada,24 days ago,"$82,338 - $102,921 a year",0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Data Scientist,Nakisa,2.9,"Montréal, QC",22 days ago,,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
41,DATA SCIENTIST,Temetrix,,"Ottawa, ON",30+ days ago,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,Data Scientist (Remote),Yelp,,"Toronto, ON",30+ days ago,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Applied Scientist (Remote),Yelp,,"Ottawa, ON",3 days ago,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Data Scientist,Maxa AI,,"Montréal, QC",30+ days ago,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Jr. Data Scientist,Pivotree,,"Kanata, ON",7 days ago,,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
46,Junior Data Scientist,Profitable Software Inc.,,"Vancouver, BC",16 days ago,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Data Scientist,Loblaw Companies Limited,3.5,"Brampton, ON",8 days ago,,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
48,Data Analytical Scientist,Samiti Technology,,"Toronto, ON",10 days ago,$50 - $60 an hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,Data Scientist,Paper,,"Montréal, QC",30+ days ago,,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
50,Data scientist,Koïos Intelligence,,"Montréal, QC",30+ days ago,,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,Data Scientist,YORKVILLE UNIVERSITY & TORONTO FILM SCHOOL,,"North York, ON",30+ days ago,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
52,Data Scientist,Trader Corporation,3.5,"Toronto, ON",24 days ago,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
53,"Principal Data Scientist, Programmatic Bidding",Qool Media Holdings,,"Venice, AB",11 days ago,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
54,Data Scientist,Kinsol Research,,British Columbia,30+ days ago,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Data Scientist,METRIO,,"Montréal, QC",30+ days ago,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,Data Scientist,BRP,3.9,"Montréal, QC",30+ days ago,,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
57,Applied Data Scientist,Comparative Inc.,,"Montréal, QC",22 days ago,"$50,000 a year",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Data Scientist,Apply Digital,,"Vancouver, BC",10 days ago,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Senior Product Data Scientist,Coffee Meets Bagel,,"Toronto, ON",7 days ago,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
60,"Data Scientist, Summer Student 2021 Opportunities",RBC,4.0,"Toronto, ON",30+ days ago,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
61,Data Scientist,YORKVILLE UNIVERSITY & TORONTO FILM SCHOOL,,"North York, ON",30+ days ago,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
62,Data Scientist,Trader Corporation,3.5,"Toronto, ON",24 days ago,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
63,Data Scientist (Junior),Trigyn,,,Just posted,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
64,Data Scientist (Machine Learning),Zesty.ai,,"Montréal, QC",30+ days ago,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
65,Data Scientist,Paper,,"Montréal, QC",30+ days ago,,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
66,Senior Data Analyst,Wattpad,4.5,"Toronto, ON",Today,,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
67,Data Scientist,Nakisa,2.9,"Montréal, QC",22 days ago,,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
68,Data Scientist/Machine Learning Engineer,Staffinity Inc.,4.5,,28 days ago,"$80,000 - $120,000 a year",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
